value,group
392.44,0
216.22,0
5307.02,0
152,0
2383,0
1782.43,0
594.66,0
911.96,0
4873.13,0
464.66,0
587.28,0
1106.07,0
789.46,0
4139.02,0
137.11,0
596.61,0
745.2,0
3290.87,0
424.46,0
1613.46,1
1229.94,0
633.44,0
2502,0
272.22,0
796.23,0
2354.18,0
106.64,0
74.2,0
271.68,0
1007.27,0
1353,0
1673.73,0
470.19,0
173.61,0
437.03,0
998.71,0
66.3,0
901.25,0
112.6,0
361.94,0
1589.63,0
478.68,0
834.44,0
3985.66,0
418.16,0
177.56,0
136.71,0
780.66,0
279.54,0
283.61,0
432.36,0
77.43,0
80.36,0
479.99,0
3649.66,0
1915.83,0
318.61,0
96.8,0
250.61,0
46.46,0
230.81,0
1872.24,0
1557.82,0
281.88,0
727.13,0
1568.84,0
170.41,0
1638.55,0
732.27,0
162.98,0
87.7,0
629.5,0
666.81,0
2014.12,0
254.01,0
89.66,0
830.37,0
99.32,0
1149.48,0
183.32,0
3753.31,0
1077.75,0
2120.29,0
178.01,0
357.11,0
431.11,0
1474.64,0
1912.87,0
156.71,0
285.91,0
3867.59,0
1047.6,0
243.84,0
684.4,0
1374.82,0
65.12,0
2391.7,0
305.92,0
3051.71,0
769.94,0
357.42,0
198.51,0
1208.19,0
7975.42,0
5506.92,0
1128.77,0
366.21,0
2410.98,0
165.47,0
699.09,0
634.76,0
421.88,0
602.92,0
155.47,0
1254.46,0
498.42,0
69.71,0
219.78,0
127.11,0
442.46,0
1068.57,0
1247.2,0
243.11,0
912.1,0
58.16,0
265.84,0
108.49,0
767.99,0
295.35,0
48.91,0
1664.63,0
403.27,0
2804.94,0
6011.44,0
835.59,0
261.51,0
807.77,0
629.09,0
109.01,0
918.15,0
409.71,0
95.36,0
429.52,0
2740.19,0
1146.09,0
311.21,0
131.11,0
519.81,0
745.69,0
99.11,0
3548.06,0
2855.98,0
1237.96,0
145.57,0
253.61,0
617.93,0
501.3,0
37.24,0
291.8,0
86.56,0
896.66,0
698.72,0
45.63,0
1299.22,0
150.11,0
1207.55,0
157.61,0
257.68,0
71.65,0
764.72,0
1844.17,0
843.87,0
5643.49,0
2278.86,0
47.66,0
1636.54,0
3664.93,0
2051.15,0
2186.97,0
855.31,0
1257.66,0
874.97,0
219.77,0
137.66,0
1096.88,0
119.26,0
1316.92,0
741.95,0
2209.78,0
146.43,0
1358.79,0
96.11,0
1876.77,0
102.11,0
2699.97,0
819.47,0
3332.9,0
997.12,0
4262.9,0
830.67,0
166.22,0
808.03,0
79.11,0
2542.6,0
2878,0
2050.88,0
775.34,0
94.54,0
87.12,0
101.32,0
161.51,0
333.51,0
321.71,0
653.22,0
238.42,0
293.82,0
733.22,0
431.42,0
344.01,0
485.15,0
1872.02,0
43.85,0
838.11,0
933.07,0
413.26,0
1260.67,0
76.25,0
1240.98,0
536.46,0
1012.24,0
1005.06,0
776.13,0
486.62,0
570.54,0
2085.57,1
1247.2,0
67.54,0
83.81,0
191.37,1
896.31,0
177.47,0
3178.18,0
304.44,0
2703.15,0
554.77,0
39.31,0
186.84,0
1209.74,0
101.6,0
1019.38,0
1088.36,0
4458.88,0
463.14,0
178.94,0
1001.16,0
3228.14,0
884.4,0
2430.74,0
623.6,0
3220.61,0
893.68,0
929.46,0
693.95,0
768.48,0
676.81,0
137.66,0
581.99,0
523.56,0
209.11,0
704.99,0
84.71,0
436.83,0
290.48,1
4147.84,0
822.46,0
336.61,0
140.11,0
164.86,0
180.22,0
199.03,0
791.46,0
172.22,0
153.47,0
799.39,0
504.63,0
471.11,0
99.32,0
596.46,0
278.22,0
393.93,0
634.76,0
231.02,0
280.08,1
88,0
975.78,0
2379.06,0
109.42,0
1768.39,0
173.71,0
581.9,0
196.16,0
490.41,0
72.12,0
550.03,0
2597.41,0
777.7,0
1234.89,0
92.11,0
1271.97,1
623.6,0
1296.11,0
2894.84,0
2182.46,0
526.71,0
58.66,0
6895.71,0
1754.28,0
138.51,0
493.93,0
158.22,0
150.71,0
1419.18,0
1380.83,0
939.16,0
1253.65,0
3226.15,0
1062.69,0
573.68,0
1365.84,0
1253.65,0
815.02,0
777.67,0
2427.66,0
1107.85,0
3115.98,0
210.94,0
994.17,0
150.11,0
69.11,0
63.01,0
255.54,0
131.43,0
162.73,0
248.22,0
228.43,0
1054.56,0
177.41,0
1805.14,0
74.11,0
852.93,0
229.81,0
206.22,0
1274.77,0
87.47,0
618.03,0
1533.68,0
1813.66,0
3232.19,0
2295.63,0
117.04,0
4472.04,0
155.57,0
100.11,0
420.14,0
1560.56,0
3502.56,0
1455.32,0
2519.36,0
173.59,0
1735.46,0
564.71,0
2543.88,0
1008.22,0
3440.11,0
110.01,1
1136.59,0
653.9,0
54.02,0
785.24,0
58.32,0
6879.86,0
493.08,0
923.68,0
1492.12,0
103.9,0
882.22,0
108.44,0
2091.96,0
2637.96,0
661.74,0
4800.24,0
218.92,0
837.3,0
743.69,0
5170.33,0
1623.31,0
1519.89,0
5139.46,0
1209.74,0
116.94,0
314.19,1
236.94,0
139.11,0
1219.97,0
1460.48,0
100.54,0
476.76,0
2332.29,0
78.92,0
1258.5,0
1277.04,0
4414.99,0
1094.84,0
158.22,0
928.21,0
2141.22,0
1194.51,0
1402.85,0
2031.77,0
93.71,0
1429.24,0
578.42,0
210.51,0
588.79,0
81.11,0
784.42,0
943.96,0
1014.22,0
161.47,0
665.85,0
125.19,0
925.9,0
1274.03,0
111.52,0
1192.84,0
2428.76,0
1535.85,0
1385.24,0
485.74,0
897.17,0
1024.81,0
437.46,0
857.45,0
849.1,0
1050.17,0
438.42,0
1614.6,0
1442.98,0
876.51,0
3475.47,0
1201.39,0
367.75,0
1050.94,0
213.11,0
2899.26,0
129.42,0
202.14,0
285.63,0
1430.91,0
3406.39,0
1023.16,0
333.22,0
2866.89,0
1856.53,0
379.46,0
2377.31,0
2290.43,0
4521.7,0
320.44,0
2732.66,0
1066.97,0
131.32,0
2856.7,0
7514.92,0
2285.02,0
454.46,0
180.22,0
473.66,0
1077.46,0
2100.52,0
1854.84,0
8284.89,0
139.32,0
810.19,0
1107.41,0
1312.54,0
86.14,0
927.25,0
560.49,0
750.4,0
447.79,0
845.37,0
623.6,0
1154.99,0
1004.88,0
1592.54,0
1211.08,0
1590.23,0
167.2,0
1634.48,0
4985.25,0
1200.08,0
261.61,0
595.03,0
7145.14,0
812.96,0
568.13,0
437.53,0
148.79,0
909.96,0
32.85,0
822.97,0
2177.82,0
628.35,0
534.9,0
1924.6,0
498,0
356.59,0
3057.59,0
2410.98,0
861.39,0
1508.6,0
550.13,0
2360.18,0
1166.54,0
208.43,0
511.26,0
225.29,0
1111.19,0
870.58,0
691.54,0
204.22,0
167.51,0
3378.66,0
1343.26,0
192.22,0
3050.33,0
115.11,0
900.69,0
84.24,0
1117.21,0
179.52,0
1925.88,0
372.42,0
1002.36,0
2077.15,0
679.39,0
628.44,0
103.12,0
1595.63,0
752.46,0
96.11,0
1688.25,0
1290.64,0
1603.45,0
239.61,0
556.46,0
1269.52,0
109.11,0
141.41,0
485.5,0
224.71,0
824.12,0
527.25,0
2478.89,0
1973.81,0
2435.44,0
1764.44,0
100.44,0
872.59,0
374.94,0
776.72,0
126.14,0
4689.15,0
1361.74,0
194.22,0
57.66,0
1838.75,1
68.04,0
829.53,0
1301.63,0
4543.05,0
164.8,0
82.17,0
364.74,0
881.54,0
2260.51,0
1607.67,0
4194.2,0
1398.17,0
293.86,0
179.01,0
266.88,0
1688.63,0
243.42,0
173.61,0
199.03,0
420.44,0
235.56,0
815.49,0
797.18,0
121.74,0
682.46,0
887.24,0
694.08,0
178.11,0
1226.16,0
682.36,0
422.17,0
108.49,0
815.9,0
973.17,0
1302.99,0
1245.41,0
2508.85,0
1004.97,0
194.71,0
183.65,0
143.11,0
2926.22,0
757.18,0
194.74,0
208.81,0
2052.5,0
604.23,0
165.34,0
1328.88,0
95.38,0
78.92,0
399.01,0
218.91,0
318.24,0
396.22,0
230.51,0
769.46,0
748.3,0
1487.58,0
2617.17,0
52.66,0
205.91,0
3817.01,0
112.59,0
1286.47,0
1137.83,0
3986.46,0
2418.37,0
790.76,0
1926.91,0
553.01,1
54.6,0
995.25,0
1794.12,0
1266.24,0
132.82,0
283.04,0
2320.99,0
487.46,0
1977.06,0
1069.36,0
1597.06,0
205.11,0
1129.46,0
1816.95,0
993.12,0
39.8,0
1315.85,0
1117.84,0
113.37,0
311.52,0
136.67,0
1078.73,0
1209.74,0
511.46,0
546.46,0
787.61,1
172.11,0
176.22,0
59.71,0
166.21,1
218.01,1
791.41,0
588.8,0
630.16,0
1720.84,0
4472.04,0
545.72,0
379.46,0
508.14,0
2106.19,0
405.73,0
642.52,0
232.11,0
131.43,0
280.91,0
783.12,0
243.84,0
2135.91,0
215.71,0
857.45,0
3892.5,0
2382.37,0
234.44,0
1505.31,0
1910.91,0
5606.24,0
3493.54,0
223.31,0
795.16,0
1246.09,0
206.41,0
1159.19,0
663.29,0
1205.14,0
1186.4,0
2380.3,1
925.48,0
774.45,0
2966.52,0
983.31,0
5739.84,0
508.32,0
2117.69,0
1069.86,0
903.25,0
211.28,0
158.22,0
2798.98,0
317.76,0
54.37,0
1918.34,0
166.22,0
181.92,0
133.45,0
1725.26,0
2513.72,0
2286.61,0
1030.48,0
2614.92,0
112.72,0
1312.71,0
709.54,0
127.8,1
498.57,0
984,0
1828.84,0
2954.5,0
3232.69,0
2494.4,0
121.32,0
1292.68,0
793.59,0
75.11,0
180.14,0
936.22,0
496.13,0
530.2,0
7395.46,0
656.85,0
210.94,0
745.93,0
179.31,0
215.06,0
463.41,0
69.42,0
862.61,0
75.63,0
221.92,0
364.17,0
582.78,0
171.71,0
29.47,0
180.41,0
1487.47,0
114.69,0
144.46,0
41.69,0
1285.93,0
839.46,0
116.11,0
48.66,0
162.22,1
115.41,0
4176.66,0
625.84,0
1697.34,0
1083.41,0
62.66,0
1555.52,0
841.5,0
2816.09,0
1794.05,0
776.51,0
531.94,0
356.94,0
311.81,0
1738.97,0
679.41,0
136.21,0
2277.89,0
1344.48,0
188.51,0
1043.7,0
152.61,0
109.54,0
1234.66,0
784.42,0
2507.3,0
1109.97,0
3604.23,0
579.9,0
79.11,0
772.88,0
1387.64,0
3780.44,0
294.88,0
3071.26,0
907.79,0
1652.7,0
257.52,0
1852.06,0
3154.32,0
106.56,0
390.56,0
518.41,0
2869.77,0
896.48,0
371.31,0
205.84,0
2594.08,0
833.4,0
3354.24,0
118.16,0
724.69,0
1047.83,0
2077.15,0
1160.62,0
694.08,0
592.75,0
1290.48,0
3608.28,0
2503.06,0
357.11,0
1316.72,0
607.46,0
343.88,0
347.08,0
1024.15,0
1575.52,0
1512.98,0
2524.92,0
9659.72,0
218.61,0
2628.26,0
67.63,0
1195.19,0
172.38,0
289.7,0
658.77,0
775.4,0
756.82,0
64.71,0
211.33,0
124.28,0
583.23,0
809.33,0
1528.24,0
2321.73,0
8237.06,0
436.8,0
435.77,0
80.59,0
2207.2,0
325.27,0
5100.2,0
944.77,0
584.93,0
768.29,0
636.27,0
1608.56,0
188.11,0
3353.58,0
4948.98,0
1691.04,0
240.22,0
808.1,0
721.5,0
683.92,0
2230.34,0
566.71,0
579.73,0
628.47,0
115.32,0
714.45,0
1706.05,0
113.31,0
568.68,0
566.71,0
689.54,0
2392.63,0
1034.73,0
568.68,0
814.36,0
84.34,0
673.28,0
968.15,0
1387.96,0
569.77,0
69.44,0
569.77,1
673.75,0
2387.68,0
284.74,0
1028.56,0
622.31,0
498.44,0
369.47,0
1362.32,0
678.55,0
472.92,0
352.11,0
97.41,0
304.65,0
165.64,0
29.63,0
267.58,0
279.01,0
339.65,0
1772.08,0
93.64,0
753.23,0
224.51,0
232.1,0
654.77,0
141.71,0
604.16,0
48.61,0
714.94,0
631.46,0
569.77,0
174.43,1
128.86,0
702.78,0
102.46,0
569.77,0
2052.29,0
814.46,0
68817,0
56.01,0
